Run Order,Run Date,Location,Name,Location ,Broad Location,Group,Year,Number,C13,O18,Li(7)/Ca,Na(23)/Ca,Mg(24)/Ca,Mn(55)/Ca,Fe(57)/Ca,Cu(63)/Ca,Cu(65)/Ca,Zn(66)/Ca,Zn(68)/Ca,Sr(88)/Ca,Ag(107)/Ca,Cd(111)/Ca,Ba(137)/Ca,Pb(208)/Ca
42,43187,Hempstead,58,16,SNE,2,2016,150,-3.3,29.0,8.83243E-07,0.00709995,0.000133218,1.2055E-05,5.51161E-06,1.26008E-06,1.2964E-06,2.87226E-05,2.62076E-05,0.004663762,-3.91058E-08,-1.37216E-08,4.00147E-06,3.07766E-07
27,43187,Hempstead,59,16,SNE,2,2016,151,-3.3,29.2,9.01969E-07,0.00741415,0.000135142,1.94329E-05,0.00013648,1.77431E-06,1.66389E-06,3.58444E-05,3.18078E-05,0.004554758,-3.88971E-08,1.38082E-08,4.76539E-06,3.37439E-07
91,43187,Hempstead,60,16,SNE,2,2016,152,-3.5,30.6,9.96429E-07,0.006815042,0.000138841,2.82694E-05,1.06599E-05,1.41078E-06,1.3715E-06,2.81276E-05,2.50261E-05,0.004869663,1.41749E-08,-6.01101E-09,5.30963E-06,4.31186E-07
30,43187,Hempstead,61,16,SNE,2,2016,153,-3.1,28.9,8.84882E-07,0.007131632,0.000144795,1.32547E-05,2.42586E-05,1.52702E-06,1.51828E-06,2.73119E-05,2.48729E-05,0.005218601,-4.27856E-08,-1.6748E-08,7.60981E-06,3.35855E-07
94,43187,Hempstead,62,16,SNE,2,2016,154,-3.9,30.6,9.95182E-07,0.006908474,8.69167E-05,2.38839E-05,9.14433E-06,1.45469E-06,1.34457E-06,2.05105E-05,1.81906E-05,0.004537865,2.06986E-08,-1.31763E-08,4.60264E-06,3.59035E-07
65,43187,Hempstead,63,16,SNE,2,2016,155,-3.5,29.0,9.46115E-07,0.007453756,0.000134058,2.64345E-05,1.4728E-05,1.83901E-06,1.61411E-06,2.85504E-05,2.55579E-05,0.004828126,-2.96187E-08,-5.44537E-09,4.41576E-06,3.19513E-07
55,43187,Hempstead,64,16,SNE,2,2016,156,-3.6,28.8,8.93526E-07,0.00716621,0.00013107,3.90646E-05,5.34718E-06,1.47965E-06,1.4358E-06,2.82682E-05,2.5137E-05,0.004539837,-3.50883E-08,-2.7087E-08,6.10972E-06,3.5553E-07
113,43187,Hempstead,65,16,SNE,2,2016,157,-3.5,30.5,1.04317E-06,0.006477803,0.000141428,2.48277E-05,1.99214E-06,2.66764E-06,2.34144E-06,2.63397E-05,2.32649E-05,0.004629627,7.90874E-08,-3.51454E-08,4.83092E-06,4.79958E-07
26,43187,Hempstead,66,16,SNE,2,2016,158,-3.7,28.8,8.93707E-07,0.007202227,0.000122632,2.49607E-05,2.79552E-06,1.52857E-06,1.36748E-06,2.39759E-05,2.24134E-05,0.004886633,-4.11158E-08,-2.66785E-08,5.19414E-06,3.15144E-07
60,43187,Hempstead,67,16,SNE,2,2016,159,-3.9,29.3,9.19003E-07,0.007127408,0.00014447,4.0534E-05,5.26926E-06,1.44093E-06,1.16223E-06,2.66215E-05,2.42729E-05,0.004557612,-4.6715E-08,-2.64924E-08,6.55439E-06,3.23848E-07
